Origin Customer ID,Destination Customer ID,Distance,Time
21222,21222,0,0
21222,21223,2218,36.966667
21222,21224,2417,40.283333
21222,21225,2571,42.85
21222,21226,2741,45.683334
21222,21227,1452,24.2
21222,21228,886,14.766666
21222,21229,727,12.116667
21223,21222,2003,33.383335
21223,21223,0,0
21223,21224,5199,86.65
21223,21225,4496,74.933334
21223,21226,2006,33.433334
21223,21227,826,13.766666
21223,21228,1950,32.5
21223,21229,2684,44.733334
21224,21222,2628,43.8
21224,21223,3790,63.166668
21224,21224,0,0
21224,21225,511,8.516666
21224,21226,3615,60.25
21224,21227,3150,52.5
21224,21228,1881,31.35
21224,21229,2206,36.766666
21225,21222,2790,46.5
21225,21223,4443,74.05
21225,21224,511,8.516666
21225,21225,0,0
21225,21226,3104,51.733334
21225,21227,3693,61.55
21225,21228,2042,34.033333
21225,21229,2368,39.466667
21226,21222,2653,44.216667
21226,21223,2012,33.533333
21226,21224,3677,61.283333
21226,21225,3166,52.766666
21226,21226,0,0
21226,21227,1438,23.966667
21226,21228,2091,34.85
21226,21229,3085,51.416668
21227,21222,1377,22.95
21227,21223,944,15.733334
21227,21224,3135,52.25
21227,21225,3756,62.6
21227,21226,1438,23.966667
21227,21227,0,0
21227,21228,1306,21.766666
21227,21229,2104,35.066666
21228,21222,959,15.983334
21228,21223,1951,32.516666
21228,21224,1888,31.466667
21228,21225,2042,34.033333
21228,21226,2392,39.866665
21228,21227,1311,21.85
21228,21228,0,0
21228,21229,1054,17.566668
21229,21222,986,16.433332
21229,21223,2147,35.783333
21229,21224,2663,44.383335
21229,21225,2816,46.933334
21229,21226,2795,46.583332
21229,21227,1507,25.116667
21229,21228,941,15.683333
21229,21229,0,0
